geo,electricity_use_2014,electricity_use_2022,pct_change_use,electricity_gen_2014,electricity_gen_2022,pct_change_gen
are,13560.37144,14687.97398,8.315425170978944,116544900000.0,155438500000.0,33.372202473038286
arg,3036.20734,2833.1191,-6.688879159352801,138551150000.0,145619000000.0,5.101256828254403
aus,10130.09801,9925.08034,-2.023846855159887,247647340000.0,272921740000.0,10.205803139254394
aut,8342.73695,8256.60587,-1.0324079557608612,65647580000.00001,69193240000.0,5.401052102758384
aze,2202.39392,2365.86248,7.4223125352616215,24727700000.0,29039800000.0,17.438338381652965
bel,7700.55858,7282.74577,-5.4257467904360706,72545600000.0,95947800000.0,32.258607000286716
bgd,326.50285,602.67475,84.58483593634787,57688480000.0,100154590000.0,73.61280796443242
bgr,4809.73404,5536.49852,15.11028414369456,47489650000.0,50499300000.0,6.337486168038719
blr,3690.10368,3902.76581,5.763039427661818,34737000000.0,39717500000.0,14.337737858767309
bra,2690.21495,2787.7609,3.6259537551079393,590542120000.0,677161560000.0,14.667783561314812
can,16486.87452,14907.07787,-9.582147593126717,652952550000.0,664076550000.0,1.7036460000041351
che,7520.0439,7309.48579,-2.799958521518737,71951950000.0,64217950000.0,-10.748840024488565
chl,3716.31635,4422.43343,19.000456729147935,71616380000.0,88040040000.0,22.932826261254757
chn,4006.16827,6112.13554,52.56811816344399,5794457000000.0,8848712000000.0,52.70994331306626
col,1383.42975,1528.08546,10.456310484865602,72747620000.0,89864970000.0,23.529773207700817
cyp,3475.61701,3848.66716,10.733350335398434,4352000000.0,5267930000.0,21.046185661764703
cze,6270.67212,6363.02934,1.4728440306331925,86013490000.0,84701630000.0,-1.525179364306692
deu,7035.61881,6269.53023,-10.888716411286069,626582520000.0,577852780000.0,-7.7770666184559385
dnk,5858.97873,5847.15969,-0.20172525869537342,32182550000.0,35123890000.0,9.139549227764736
dza,1353.09165,1756.58721,29.820268272293294,64241000000.0,91231000000.0,42.01366728413319
ecu,1367.68509,1589.27085,16.20151902072722,24307210000.0,33008300000.0,35.79633368041828
egy,1576.47003,1477.94873,-6.2494876607327505,171234280000.0,216710610000.0,26.557959072213812
esp,5358.28826,5179.76963,-3.331635427915565,278750120000.0,292454000000.0,4.916188018143275
est,6732.36747,6464.07283,-3.9851455107812184,12430000000.0,8936850000.0,-28.10257441673371
fin,15251.27108,14738.19974,-3.364121831608021,68093520000.0,72186830000.0,6.01130621533444
fra,7106.65526,6661.05781,-6.270143037724897,565211220000.0,467180130000.0,-17.344151448373584
gbr,5118.92603,4326.19372,-15.486301332625418,338095920000.0,324911800000.0,-3.8995205857556634
grc,5062.60642,4827.78286,-4.638392569335852,50473290000.0,52670050000.0,4.352321792377712
hkg,6498.37471,6374.675,-1.9035484335743986,39850060000.0,36420800000.0,-8.605407369524663
hrv,3746.90772,4475.52041,19.44570681874172,13552840000.0,14220500000.0,4.926347540441708
hun,3982.69589,4702.93097,18.084109354380065,29403000000.0,35801760000.0,21.76226915620855
idn,836.14097,1330.98768,59.18221062651671,228555650000.0,333537000000.0,45.932511403677836
ind,808.29341,1085.33521,34.274905198101266,1258688950000.0,1806148280000.0,43.49440979838585
irl,5644.583,6107.04039,8.192941622082632,26318700000.0,34045220000.0,29.357529057286264
irn,2872.45553,3664.25873,27.565377139189334,275628000000.0,367073000000.0,33.17696315323552
irq,1252.091,1373.11648,9.665869333778456,71172910000.0,131308210000.0,84.49183825699976
isl,53835.53359,51258.75975,-4.786381165317622,18122210000.0,20120520000.0,11.026855996040217
isr,6600.89828,6842.79362,3.664582148355724,61330300000.0,75984500000.0,23.893899100444642
ita,5041.25391,5215.69012,3.460175049980766,279828500000.0,283953000000.0,1.4739385016179554
jpn,8113.24209,7800.08061,-3.859880877781126,1062728820000.0,1040563920000.0,-2.0856590677572853
kaz,4886.5406,5271.52788,7.878524123998874,94643240000.0,113453170000.0,19.87456262063725
kor,10272.63686,11705.63051,13.949618481889958,540378800000.0,622585130000.0,15.212723000976352
kwt,16199.67506,16570.56987,2.2895200590523435,65143300000.0,83544000000.0,28.246496569869812
lka,531.09058,684.05392,28.801742256471556,12867480000.0,17414180000.0,35.334813032544055
ltu,3814.78885,4416.17028,15.764474880438021,4396900000.0,4782800000.0,8.776638085924175
lux,13851.7649,11661.25404,-15.813947723008209,2964980000.0,2258100000.0,-23.840970259495847
lva,3506.4014,3714.51695,5.935303071690536,5141000000.0,5030970000.0,-2.140245088504182
mar,882.82983,978.27259,10.81100306726156,29278500000.0,41155940000.0,40.567105555270935
mex,2167.59696,2371.96646,9.428390229888507,303315830000.0,340147220000.0,12.142917169868781
mkd,3788.67486,3484.17218,-8.037181633474878,5373690000.0,5942460000.0,10.58434706877397
mys,4388.53267,4986.12313,13.617090379322628,147461000000.0,197673410000.0,34.051315263018694
nld,6709.2171,6352.07696,-5.323126896579327,103417850000.0,121572850000.0,17.554996550402084
nor,23121.40079,23373.47106,1.0902032808886757,141970000000.0,146730940000.0,3.353483130238783
nzl,9108.15897,8099.50949,-11.074131263213998,43988090000.0,44694030000.0,1.6048434928636366
omn,6485.79529,8157.53835,25.77545212655023,29137090000.0,42510620000.0,45.89864670768426
pak,419.12654,605.78825,44.535884079304545,106287980000.0,146947840000.0,38.25442914617439
per,1351.34929,1588.44822,17.545347583673195,45549800000.0,59806780000.0,31.29976421411291
phl,672.72748,884.68026,31.50648461692095,77261000000.0,113284630000.0,46.6258914588214
pol,3971.79976,4552.82556,14.628778768041428,159058000000.0,179748120000.0,13.007909064617937
prt,4662.6008,5085.2321,9.064282320716798,52802130000.0,48808000000.0,-7.564334999364609
qat,16893.73044,19381.08622,14.723543676952394,38693000000.0,54623000000.0,41.17023751066085
rou,2584.41179,2717.53653,5.1510653416420045,63284700000.0,55900160000.0,-11.668760379681029
rus,6583.54328,7184.42204,9.126981238589208,1064196500000.0,1166935250000.0,9.654114630145843
sau,11159.73554,11835.31776,6.053747578322992,328202450000.0,409838840000.0,24.873790552142435
sgp,8844.68759,10143.47647,14.684395200893693,49336870000.0,57113660000.0,15.76263350309819
svk,5137.07384,4957.70057,-3.4917401537681623,27401000000.0,26838000000.0,-2.0546695376081168
svn,6727.9993,6731.29187,0.04893832257086611,17437000000.0,13615510000.0,-21.915983254000114
swe,13480.14822,12418.39732,-7.876403750699999,153662000000.0,173142000000.0,12.67717457796983
tha,2418.62414,2828.55049,16.948741361690047,173764180000.0,180366090000.0,3.7993503609316948
tkm,2410.75189,2829.24674,17.359515582501526,20100000000.0,32600000000.0,62.189054726368155
tto,6821.30877,6590.9848,-3.376536347584211,9423230000.0,9493240000.0,0.7429511961397525
tur,2848.97166,3554.22816,24.75477414892923,251962770000.0,328379340000.0,30.328516391528797
ukr,3366.56488,2419.58552,-28.128950243192698,182815400000.0,111504500000.0,-39.00705301632138
usa,12962.14254,12968.16281,0.046445022351984354,4363281420000.0,4537725860000.0,3.9980102864875495
uzb,1515.00543,2094.05233,38.220780502417085,55400000000.0,74269300000.0,34.060108303249095
ven,1975.46916,1989.22363,0.6962634638143304,130955360000.00002,76371930000.0,-41.68094379642041
vnm,1384.50681,2624.40089,89.55492822747472,141250000000.0,265110000000.0,87.68849557522124
zaf,4118.70973,3404.62349,-17.337619954101495,254765000000.0,234910000000.0,-7.793456715011874
