geo,electricity_use_per_person_2014,electricity_use_per_person_2022,pct_change
ago,310.37413,392.50705,26.4625534351075
alb,2309.3665,2507.48014,8.578700695623672
are,13560.37144,14687.97398,8.315425170978944
arg,3036.20734,2833.1191,-6.688879159352801
arm,1895.2817,2403.67776,26.824300577586964
aus,10130.09801,9925.08034,-2.023846855159887
aut,8342.73695,8256.60587,-1.0324079557608612
aze,2202.39392,2365.86248,7.4223125352616215
bel,7700.55858,7282.74577,-5.4257467904360706
ben,104.26107,105.30905,1.0051498608253258
bfa,97.86356,131.19175,34.05577111644008
bgd,326.50285,602.67475,84.58483593634787
bgr,4809.73404,5536.49852,15.11028414369456
bhr,19917.66079,22689.15775,13.9147713640724
bih,3366.78141,3773.08801,12.068101564098868
blr,3690.10368,3902.76581,5.763039427661818
bol,695.27863,859.30841,23.591949029125196
bra,2690.21495,2787.7609,3.6259537551079393
brn,10118.77624,11197.48776,10.660493862249897
bwa,1723.72199,1522.19852,-11.691181708484214
can,16486.87452,14907.07787,-9.582147593126717
che,7520.0439,7309.48579,-2.799958521518737
chl,3716.31635,4422.43343,19.000456729147935
chn,4006.16827,6112.13554,52.56811816344399
civ,253.67553,323.70454,27.605741081924613
cmr,250.40919,283.6849,13.288533859320431
cod,117.3931,130.66793,11.308015547762183
cog,199.16075,458.98132,130.45771819999672
col,1383.42975,1528.08546,10.456310484865602
cri,1954.01038,2142.95624,9.669644641294077
cub,1453.59977,1102.0975,-24.181502863061127
cyp,3475.61701,3848.66716,10.733350335398434
cze,6270.67212,6363.02934,1.4728440306331925
deu,7035.61881,6269.53023,-10.888716411286069
dnk,5858.97873,5847.15969,-0.20172525869537342
dom,1452.76131,1716.80676,18.17541864464988
dza,1353.09165,1756.58721,29.820268272293294
ecu,1367.68509,1589.27085,16.20151902072722
egy,1576.47003,1477.94873,-6.2494876607327505
eri,81.09401,102.36264,26.22712824288749
esp,5358.28826,5179.76963,-3.331635427915565
est,6732.36747,6464.07283,-3.9851455107812184
eth,65.4795,92.43582,41.16757153002085
fin,15251.27108,14738.19974,-3.364121831608021
fra,7106.65526,6661.05781,-6.270143037724897
gab,933.07771,1065.10468,14.149622114539623
gbr,5118.92603,4326.19372,-15.486301332625418
geo,2693.97276,3682.96098,36.711144028048736
gha,341.92067,552.50282,61.58801396826933
gib,5851.33941,5424.23356,-7.299283464399135
gnq,732.23282,744.64457,1.6950551328742816
grc,5062.60642,4827.78286,-4.638392569335852
gtm,587.69045,669.88359,13.98578792627989
hkg,6498.37471,6374.675,-1.9035484335743986
hnd,663.78892,757.08113,14.054499433343972
hrv,3746.90772,4475.52041,19.44570681874172
hti,84.73731,74.8461,-11.672792067626395
hun,3982.69589,4702.93097,18.084109354380065
idn,836.14097,1330.98768,59.18221062651671
ind,808.29341,1085.33521,34.274905198101266
irl,5644.583,6107.04039,8.192941622082632
irn,2872.45553,3664.25873,27.565377139189334
irq,1252.091,1373.11648,9.665869333778456
isl,53835.53359,51258.75975,-4.786381165317622
isr,6600.89828,6842.79362,3.664582148355724
ita,5041.25391,5215.69012,3.460175049980766
jam,1081.34267,1147.52897,6.120751713238143
jor,1897.12809,1790.64757,-5.612721700831484
jpn,8113.24209,7800.08061,-3.859880877781126
kaz,4886.5406,5271.52788,7.878524123998874
ken,165.74943,189.35547,14.242003728157623
kgz,1918.09881,1971.40735,2.7792384689504077
khm,276.42158,813.23244,194.20005485823503
kor,10272.63686,11705.63051,13.949618481889958
kwt,16199.67506,16570.56987,2.2895200590523435
lao,565.70233,1263.52575,123.35523171700567
lbn,2557.27518,680.65236,-73.3836872416679
lby,4766.11155,3979.06643,-16.513359197394358
lka,531.09058,684.05392,28.801742256471556
ltu,3814.78885,4416.17028,15.764474880438021
lux,13851.7649,11661.25404,-15.813947723008209
lva,3506.4014,3714.51695,5.935303071690536
mar,882.82983,978.27259,10.81100306726156
mda,1912.30013,2255.35008,17.939127055333103
mdg,78.21728,81.31481,3.9601607215183035
mex,2167.59696,2371.96646,9.428390229888507
mkd,3788.67486,3484.17218,-8.037181633474878
mlt,4874.49277,5174.04018,6.145201647309042
mmr,222.13175,354.13203,59.42431912592413
mne,4400.84394,4345.79717,-1.2508230410006296
mng,1990.81169,2545.61488,27.8681902857422
moz,466.52623,397.71871,-14.748907044304884
mus,2184.41367,2334.2149,6.857731759204749
mys,4388.53267,4986.12313,13.617090379322628
nam,1636.57981,1230.93981,-24.785836750607345
ner,51.25961,62.42105,21.7743365585497
nga,187.86218,135.60331,-27.817663991762476
nic,555.5105,682.40025,22.84200748680719
nld,6709.2171,6352.07696,-5.323126896579327
nld_curacao,4983.67638,5140.13707,3.1394632811209924
nor,23121.40079,23373.47106,1.0902032808886757
npl,142.12733,321.04526,125.88566182169185
nzl,9108.15897,8099.50949,-11.074131263213998
omn,6485.79529,8157.53835,25.77545212655023
pak,419.12654,605.78825,44.535884079304545
pan,2073.68719,2546.37083,22.7943559799875
per,1351.34929,1588.44822,17.545347583673195
phl,672.72748,884.68026,31.50648461692095
pol,3971.79976,4552.82556,14.628778768041428
prk,714.97437,829.77434,16.056515424462003
prt,4662.6008,5085.2321,9.064282320716798
pry,1726.57765,2213.01378,28.173429095413134
qat,16893.73044,19381.08622,14.723543676952394
rou,2584.41179,2717.53653,5.1510653416420045
rus,6583.54328,7184.42204,9.126981238589208
rwa,35.28452,68.12673,93.07823940923666
sau,11159.73554,11835.31776,6.053747578322992
sdn,237.04826,278.81869,17.621065853847654
sen,255.2271,399.52177,56.53579498415332
sgp,8844.68759,10143.47647,14.684395200893693
slv,976.96641,1109.97546,13.614495712293746
srb,4271.01931,5113.70107,19.7302259445884
ssd,40.23116,46.90969,16.600391338455054
sur,3184.0215,2955.8832,-7.165099230642746
svk,5137.07384,4957.70057,-3.4917401537681623
svn,6727.9993,6731.29187,0.04893832257086611
swe,13480.14822,12418.39732,-7.876403750699999
swz,1129.10422,1137.07496,0.7059348338986793
syr,933.87188,689.51477,-26.166020760792158
tcd,13.53192,14.46738,6.9129879573630415
tgo,173.03562,191.86472,10.88163234829916
tha,2418.62414,2828.55049,16.948741361690047
tjk,1431.71628,1475.70933,3.072749162285129
tkm,2410.75189,2829.24674,17.359515582501526
tto,6821.30877,6590.9848,-3.376536347584211
tun,1442.84056,1595.46721,10.57820622952268
tur,2848.97166,3554.22816,24.75477414892923
tza,103.01577,123.47049,19.855911381335105
uga,64.76068,89.87013,38.772678112706686
ukr,3366.56488,2419.58552,-28.128950243192698
ury,3120.07089,3589.88862,15.057918443641524
usa,12962.14254,12968.16281,0.046445022351984354
uzb,1515.00543,2094.05233,38.220780502417085
ven,1975.46916,1989.22363,0.6962634638143304
vnm,1384.50681,2624.40089,89.55492822747472
yem,189.63612,53.97291,-71.53869737474064
zaf,4118.70973,3404.62349,-17.337619954101495
zmb,695.17339,703.96684,1.2649290272747649
zwe,582.72618,538.79954,-7.538127083976221
