geo,energy_use_per_person_2005,energy_use_per_person_2020,pct_change
ago,392.5578,397.63319,1.2929025993114969
alb,721.07741,761.95727,5.669274814752553
are,9535.23423,8154.35294,-14.481881165073386
arg,1712.43204,1623.92451,-5.168528031045241
arm,798.54418,1233.30456,54.4441235549422
aus,5624.49561,5159.03638,-8.275572820653341
aut,4084.35262,3546.5045,-13.168503555895233
aze,1600.2278,1536.83056,-3.961763443929657
bel,5549.63761,4386.43051,-20.960055083668784
ben,296.64743,426.18548,43.66734274421322
bfa,152.45407,263.88299,73.090157579919
bgd,159.8256,272.07657,70.23341066762771
bgr,2599.19173,2664.55153,2.5146201892539946
bhr,11975.42824,10832.91852,-9.54044980357212
bih,1230.3223,2152.73019,74.97286605306594
blr,2776.99847,2673.86549,-3.7138291977524878
bol,567.49654,657.74547,15.902992113396847
bra,1173.71586,1379.2465,17.511106989727477
brn,6180.90186,9175.89257,48.45556162899503
bwa,1090.9756,1119.82959,2.6447878394347284
can,8369.9593,7495.07932,-10.452619285735363
che,3469.41664,2690.39023,-22.454103696234075
chl,1735.08874,1946.16761,12.165306887992372
chn,1369.79197,2465.96955,80.02511359443871
civ,479.36734,375.31718,-21.70572571756766
cmr,428.53959,386.88384,-9.720397128302652
cod,283.63734,372.06638,31.17679780807421
cog,293.78928,586.73611,99.7132468550248
col,652.5629,810.0523,24.133980034721546
cri,908.91972,948.97966,4.407423353076769
cub,946.32994,854.37489,-9.717017935626123
cyp,2161.54002,1638.57191,-24.19423675532966
cze,4431.36896,3764.47161,-15.049465662186698
deu,4109.88059,3349.19931,-18.508598080704818
dnk,3484.59359,2637.04301,-24.322795703702138
dom,772.03771,842.61182,9.141277567905332
dza,979.32646,1373.67832,40.267661102509166
ecu,837.89142,785.4252,-6.261696772118758
egy,778.76964,805.25946,3.4014962370644044
eri,264.19015,284.94415,7.855705445490667
esp,3239.54436,2303.51312,-28.893916427185452
est,4015.42833,3368.23731,-16.11760855410412
eth,365.38933,380.65675,4.178397874946161
fin,6555.77647,5739.25445,-12.455000925313724
fra,4313.6963,3228.48916,-25.157244843592714
gab,2074.20458,2140.11585,3.177664856954469
gbr,3689.55052,2317.40854,-37.18994963104612
geo,727.94565,1327.38644,82.34691559733889
gha,261.89337,367.1611,40.19488160391382
gib,5143.33995,6822.75357,32.65219947205707
gnq,1455.03413,1121.37908,-22.93108066131755
grc,2758.67496,1839.48819,-33.319864910797605
gtm,696.52891,823.75178,18.265267697215908
hkg,1864.70664,1655.13406,-11.238903509240467
hnd,529.29737,544.57386,2.8861828654089035
hrv,2260.50892,2104.84531,-6.88621967481553
hti,363.22145,398.39414,9.683538788802256
hun,2781.00595,2713.17923,-2.43892753987096
idn,637.32976,848.43677,33.12367054693948
ind,425.36964,632.23983,48.63304066552563
irl,3513.15702,2633.97691,-25.02535767672577
irn,2404.02751,3252.60547,35.29818009445325
irq,949.25348,1143.12626,20.42371021910818
isl,10877.23019,16083.60997,47.86494069773841
isr,2661.9801,2453.62703,-7.826995776564975
ita,3204.1352,2313.10006,-27.808912058392536
jam,1303.21147,795.43608,-38.963391720301544
jor,1107.30679,754.94383,-31.82162009500547
jpn,4066.442,3046.85481,-25.073201339155954
kaz,3186.46182,3388.38789,6.336999512518872
ken,453.62492,534.75396,17.884608279456966
kgz,498.53941,562.28915,12.787302010888164
khm,286.39039,516.11672,80.21439895381963
kor,4324.5093,5195.91011,20.150281790352494
kwt,12017.98103,8871.94072,-26.177777300086152
lao,324.85682,701.72879,116.01171556133558
lbn,1079.47193,1249.32146,15.734501776252763
lby,3114.98564,1687.13966,-45.83796347773853
lka,445.25364,511.06636,14.780950471286422
ltu,2668.04972,2674.0684,0.2255835022444833
lux,9429.92465,5435.81571,-42.355682449700176
lva,2022.79777,2251.3825,11.300424263370642
mar,484.79791,575.6993,18.750367550058126
mda,1219.63334,1461.47443,19.82899959097542
mdg,250.78081,301.74864,20.323656343561545
mex,1718.63669,1366.42723,-20.493537816884384
mkd,1453.50436,1388.54646,-4.46905436183211
mlt,2101.87985,1336.72896,-36.40316976253424
mmr,312.77455,420.35266,34.39477732443386
mne,1662.81205,1625.86285,-2.2220911858318577
mng,1151.95461,1771.64406,53.79460654270051
moz,424.49128,342.94565,-19.210201443949572
mus,945.75472,1025.83744,8.467599294667014
mys,2515.14873,2722.60317,8.24819771195002
nam,702.41935,678.33249,-3.4291281981340633
ner,126.0313,147.81739,17.286253494171675
nga,305.40194,323.13089,5.805120294913646
nic,527.95888,584.48107,10.705793981531293
nld,4893.73296,3975.37814,-18.765936505043797
nld_curacao,14857.20792,5097.78998,-65.6881023174104
nor,6319.92546,5145.72222,-18.579384320776477
npl,347.14075,524.60127,51.12062470338039
nzl,4074.14859,3849.07797,-5.524359630682983
omn,4030.08185,5696.1655,41.341186407913774
pak,436.02171,454.25032,4.180665682908313
pan,838.63594,936.06545,11.617616817137606
per,525.12953,666.66636,26.95274630623039
phl,434.47009,518.15678,19.26178393546032
pol,2414.28237,2710.95606,12.288276370920114
prk,874.54757,726.9278,-16.87955864996571
prt,2519.13902,1957.3055,-22.302600830659998
pry,727.72611,1056.54063,45.18382884461848
qat,20198.16891,14869.25011,-26.38317772143039
rou,1808.18762,1669.63823,-7.662334841115653
rus,4541.20864,5044.85367,11.090550334194745
rwa,352.13603,358.13256,1.7029015747124787
sau,6447.0719,7170.88695,11.227035485675291
sdn,485.74982,422.22104,-13.078497898362574
sen,246.43567,280.6079,13.866592445809484
sgp,4925.75758,5538.12372,12.431917934540317
slv,643.90315,669.91073,4.039051525062421
srb,2152.46605,2291.60819,6.464312874992845
sur,1231.36166,1688.41378,37.1176182308616
svk,3504.64376,3032.6427,-13.467875548069971
svn,3763.90446,3068.8194,-18.46712814809333
swe,5711.64214,4284.99806,-24.977826779602825
swz,858.52171,991.48575,15.487557093926032
syr,1105.30501,509.57367,-53.89746129894046
tcd,228.51576,193.03268,-15.527629254104838
tgo,405.97784,424.62221,4.5924600219558736
tha,1508.58026,1884.35074,24.908882209555106
tjk,337.91594,375.36738,11.083064030658054
tkm,3554.43426,3395.8268,-4.4622420446735225
tto,12423.56831,10738.11726,-13.56656161855965
tun,810.83693,896.51559,10.566694341364041
tur,1211.46562,1762.01062,45.44454179393057
tza,426.1625,405.68564,-4.804941776904361
uga,392.29668,475.32519,21.164724106255512
ukr,2964.77702,1932.92182,-34.803804570773416
ury,916.69861,1531.60056,67.07787524626005
usa,7843.39106,6141.53126,-21.69801029913202
uzb,1662.08973,1351.3752,-18.694209126723862
ven,2371.58341,1104.64249,-53.42173143300914
vnm,509.24513,991.28123,94.65698768685328
yem,289.03075,77.5877,-73.15590123196235
zaf,2374.4355,2037.46194,-14.191733572042708
zmb,607.94241,759.02272,24.851089102337845
zwe,479.1906,373.55725,-22.044119813702522
